item01	robot	medium
item02	book	low
item03	staircase	high
item04	building	low
item05	train	low
item06	gate	low
item07	unclear, castle	low
item08	fish	medium
item09	unclear, building	low
item10	staircase	medium
item11	city skyline	medium
item12	deer	medium
item13	staircase	high
item14	unclear, robot	low
item15	staircase	high
item16	city skyline	medium
item17	truck	low
item18	building	low
item19	mountain	medium
item20	robot	medium
item21	staircase	medium
item22	suitcase	medium
item23	unclear, castle	low
item24	tower	medium
item25	robot	low
item26	building	low
item27	unclear, robot	low
item28	dinosaur	medium
item29	unclear, building	low
item30	dinosaur	low
item31	mountain	medium
item32	building	low
item33	unclear, castle	low
item34	unclear, tower	low
item35	mountain	low
item36	city skyline	high
item37	teapot	medium
item38	unclear, castle	low
item39	horse	medium
