item01	robot	low
item02	building	low
item03	cake	medium
item04	building	low
item05	suitcase	low
item06	arch	low
item07	robot	low
item08	crystal	low
item09	building	low
item10	castle	low
item11	skyscraper	low
item12	deer	medium
item13	staircase	medium
item14	robot	low
item15	staircase	high
item16	skyline	low
item17	car	low
item18	building	low
item19	pyramid	low
item20	robot	low
item21	staircase	low
item22	suitcase	medium
item23	building	low
item24	tower	medium
item25	robot	low
item26	sofa	low
item27	animal	low
item28	dog	low
item29	building	low
item30	dog	low
item31	pyramid	low
item32	boot	medium
item33	castle	low
item34	tower	low
item35	rock formation	low
item36	skyline	medium
item37	pitcher	medium
item38	robot	low
item39	dog	medium
